index,User,Tweet,Retweet count,Likes count,Tweet value
0,1,"""Particular attention will be paid to understanding the transmission of the virus, the severity of disease &amp; the impact of ongoing response measures""-@DrTedros from #DRC",21,40,2440.26
3,0,Coronavirus is like climate change on a three month time scale.,1397,11017,4002.26
4,0,"Dear @SkyNews, can you explain this? Watch the folder! Crazy! Will we see magic like that from him in the #Budget2020? #coronavirus

 https://t.co/0EVQd40ett",1454,3877,21.32
5,1,@DrTedros It was the unanimous view of the Emergency Committee on the #Ebola outbreak in #DRC that the event still constitutes a public health emergency of international concern 👉https://t.co/SOrOZSwZsb,82,92,2684.28
10,1,"@DrTedros @_AfricanUnion @NCDCgov ""20% of patients have severe or critical #COVID19, ranging from shortness of breath to septic shock &amp; multi-organ failure. These patients require intensive care using equipment such as respiratory support machines that are in short supply in many African countries""-@DrTedros",414,577,2440.26
12,1,"Watch our Goodwill Ambassador @Alissonbecker taking the #SafeHands challenge and promoting the global #COVID19 response. Together, for a safer, healthier world. #coronavirus
 https://t.co/ShxYLWVxZt",69,244,2684.28
13,1,"@DrTedros @WPRO @SEARO @pahowho @_Europe @EMRO @AFRO 🚨BREAKING🚨
 
 ""For all of these reasons, I am declaring a public health emergency of international concern over the global outbreak of #2019nCoV.""-@DrTedros",17146,13501,2440.26
14,0,Dear @hughhewitt: Yesterday @realDonaldTrump said he “stopped” the #coronavirus &amp; “closed it down.” Kudlow &amp; @KellyannePolls said virus was contained. This is false information flow from the Administration. Virus has spread to 28 states with at least 17 deaths &amp; over 350 cases. https://t.co/wFChweUAWv,3264,8036,2771.12
15,0,"Carabineros rompiendo ventanales para culpar estudiantes y dividir la opinión de la gente .

yobilo coronel  @PiensaPrensa
@_PuebloInforma @PamJiles
#BastaDeKpop #coronavirus #Concepcion https://t.co/a45W27eW8O",3936,1479,10.42
16,0,"The US embassy in Tokyo exposed at least 5 employees to #coronavirus patients from the cruise ship Diamond Princess last month.

When they all asked to be tested, a top embassy official not only refused -- he also told them not to seek any outside testing. https://t.co/GUfiuwrput",1706,1845,899.02
